# tijd (s), versnelling (m/s^2)
0.000000000000000000e+00,0.000000000000000000e+00
1.001669449081802991e-02,0.000000000000000000e+00
2.003338898163605983e-02,0.000000000000000000e+00
3.005008347245408801e-02,0.000000000000000000e+00
4.006677796327211966e-02,0.000000000000000000e+00
5.008347245409015130e-02,0.000000000000000000e+00
6.010016694490817601e-02,0.000000000000000000e+00
7.011686143572620766e-02,0.000000000000000000e+00
8.013355592654423931e-02,0.000000000000000000e+00
9.015025041736227096e-02,0.000000000000000000e+00
1.001669449081803026e-01,0.000000000000000000e+00
1.101836393989983343e-01,0.000000000000000000e+00
1.202003338898163520e-01,0.000000000000000000e+00
1.302170283806343976e-01,0.000000000000000000e+00
1.402337228714524153e-01,0.000000000000000000e+00
1.502504173622704609e-01,0.000000000000000000e+00
1.602671118530884786e-01,0.000000000000000000e+00
1.702838063439064964e-01,0.000000000000000000e+00
1.803005008347245419e-01,0.000000000000000000e+00
1.903171953255425597e-01,0.000000000000000000e+00
2.003338898163606052e-01,0.000000000000000000e+00
2.103505843071786230e-01,0.000000000000000000e+00
2.203672787979966685e-01,0.000000000000000000e+00
2.303839732888146863e-01,0.000000000000000000e+00
2.404006677796327041e-01,0.000000000000000000e+00
2.504173622704507496e-01,0.000000000000000000e+00
2.604340567612687951e-01,0.000000000000000000e+00
2.704507512520867851e-01,0.000000000000000000e+00
2.804674457429048307e-01,0.000000000000000000e+00
2.904841402337228762e-01,0.000000000000000000e+00
3.005008347245409217e-01,0.000000000000000000e+00
3.105175292153589117e-01,0.000000000000000000e+00
3.205342237061769572e-01,0.000000000000000000e+00
3.305509181969950028e-01,0.000000000000000000e+00
3.405676126878129928e-01,0.000000000000000000e+00
3.505843071786310383e-01,0.000000000000000000e+00
3.606010016694490838e-01,0.000000000000000000e+00
3.706176961602671294e-01,0.000000000000000000e+00
3.806343906510851194e-01,0.000000000000000000e+00
3.906510851419031649e-01,0.000000000000000000e+00
4.006677796327212104e-01,0.000000000000000000e+00
4.106844741235392005e-01,0.000000000000000000e+00
4.207011686143572460e-01,0.000000000000000000e+00
4.307178631051752915e-01,0.000000000000000000e+00
4.407345575959933370e-01,0.000000000000000000e+00
4.507512520868113270e-01,0.000000000000000000e+00
4.607679465776293726e-01,0.000000000000000000e+00
4.707846410684474181e-01,0.000000000000000000e+00
4.808013355592654081e-01,0.000000000000000000e+00
4.908180300500834536e-01,0.000000000000000000e+00
5.008347245409014992e-01,0.000000000000000000e+00
5.108514190317194892e-01,0.000000000000000000e+00
5.208681135225375902e-01,0.000000000000000000e+00
5.308848080133555802e-01,0.000000000000000000e+00
5.409015025041735703e-01,0.000000000000000000e+00
5.509181969949916713e-01,0.000000000000000000e+00
5.609348914858096613e-01,0.000000000000000000e+00
5.709515859766276513e-01,0.000000000000000000e+00
5.809682804674457524e-01,0.000000000000000000e+00
5.909849749582637424e-01,0.000000000000000000e+00
6.010016694490818434e-01,0.000000000000000000e+00
6.110183639398998334e-01,0.000000000000000000e+00
6.210350584307178234e-01,0.000000000000000000e+00
6.310517529215359245e-01,0.000000000000000000e+00
6.410684474123539145e-01,0.000000000000000000e+00
6.510851419031719045e-01,0.000000000000000000e+00
6.611018363939900055e-01,0.000000000000000000e+00
6.711185308848079956e-01,0.000000000000000000e+00
6.811352253756259856e-01,0.000000000000000000e+00
6.911519198664440866e-01,0.000000000000000000e+00
7.011686143572620766e-01,0.000000000000000000e+00
7.111853088480801777e-01,0.000000000000000000e+00
7.212020033388981677e-01,0.000000000000000000e+00
7.312186978297161577e-01,0.000000000000000000e+00
7.412353923205342587e-01,0.000000000000000000e+00
7.512520868113522488e-01,0.000000000000000000e+00
7.612687813021702388e-01,0.000000000000000000e+00
7.712854757929883398e-01,0.000000000000000000e+00
7.813021702838063298e-01,0.000000000000000000e+00
7.913188647746243198e-01,0.000000000000000000e+00
8.013355592654424209e-01,0.000000000000000000e+00
8.113522537562604109e-01,0.000000000000000000e+00
8.213689482470784009e-01,0.000000000000000000e+00
8.313856427378965019e-01,0.000000000000000000e+00
8.414023372287144920e-01,0.000000000000000000e+00
8.514190317195325930e-01,0.000000000000000000e+00
8.614357262103505830e-01,0.000000000000000000e+00
8.714524207011685730e-01,3.090860900556435596e-17
8.814691151919866741e-01,3.090860900556435596e-17
