# tijd (s), versnelling (m/s^2)
0.000000000000000000e+00,3.256994673961343966e-14
2.006688963210702392e-02,4.864242342250690278e-14
4.013377926421404784e-02,7.267386692433319311e-14
6.020066889632107177e-02,1.085471712514163193e-13
8.026755852842809569e-02,1.621542899954419928e-13
1.003344481605351196e-01,2.422462230811106605e-13
1.204013377926421435e-01,3.618625399326447154e-13
1.404682274247491813e-01,5.405529357460636101e-13
1.605351170568561914e-01,8.074874102703688348e-13
1.806020066889632014e-01,1.206247102203405968e-12
2.006688963210702392e-01,1.801913951382516477e-12
2.207357859531772770e-01,2.691734168891457240e-12
2.408026755852842871e-01,4.020958899175752117e-12
2.608695652173912971e-01,6.006605213215720502e-12
2.809364548494983627e-01,8.972807830076588738e-12
3.010033444816053727e-01,1.340376942771115314e-11
3.210702341137123828e-01,2.002282872837213050e-11
3.411371237458193928e-01,2.991055070289405416e-11
3.612040133779264028e-01,4.468102154930874628e-11
3.812709030100334684e-01,6.674547980978218334e-11
4.013377926421404784e-01,9.970584091689715168e-11
4.214046822742474885e-01,1.489427527978648312e-10
4.414715719063545540e-01,2.224939219530596985e-10
4.615384615384615641e-01,3.323662611798283334e-10
4.816053511705685741e-01,4.964959590125772212e-10
5.016722408026755842e-01,7.416764908896311408e-10
5.217391304347825942e-01,1.107932477095729789e-09
5.418060200668896043e-01,1.655053666116401499e-09
5.618729096989967253e-01,2.472355216553978531e-09
5.819397993311037354e-01,3.693258080028627327e-09
6.020066889632107454e-01,5.517069332050538520e-09
6.220735785953177555e-01,8.241518293150561303e-09
6.421404682274247655e-01,1.231135942791894274e-08
6.622073578595317755e-01,1.839097660960575549e-08
6.822742474916387856e-01,2.747284079163136687e-08
7.023411371237457956e-01,4.103952646450359393e-08
7.224080267558528057e-01,6.130573510509939620e-08
7.424749163879599267e-01,9.157983470231556513e-08
7.625418060200669368e-01,1.368039344014082362e-07
7.826086956521739468e-01,2.043606578481238323e-07
8.026755852842809569e-01,3.052783142269976465e-07
8.227424749163879669e-01,4.560311988219822581e-07
8.428093645484949770e-01,6.812288987152470537e-07
8.628762541806019870e-01,1.017633585963961791e-06
8.829431438127091081e-01,1.520161024955335358e-06
